name               place       held        result    
Sunneva Geirsdott  Reykjavík  2008-08-09  55.89     
Geir Geirsson      Vík        2002-06-27  30.84     
Helga Jansdottir   Rif         2002-02-01  32.03     
Greta Sunnevudott  Borgarnes   2001-04-06  40.49     
Greta Finngeirsdo  Vík        2007-05-01  50.1      
Elva Sigurgeirsdo  Akureyri    2003-06-18  39.87     
Janus Arnarsson    Akureyri    2003-11-21  54.25     
Sigurgeir Angelus  Reykjavík  2006-06-10  43.4      
Sigurgeir Benedik  Vík        2001-09-26  40.72     
Helga Sigurgeirsd  Húsavík   2007-08-26  45.12     
Greta Benediktsdo  Vík        2009-11-03  42.38     
Jan Gunnarsson     Akureyri    2000-08-01  31.99     
Angela Finngeirsd  Höfn       2001-01-14  48.55     
Finngeir Gunnarss  Kópasker   2004-12-05  36.51     
Gunnar Benediktss  Vík        2008-04-05  41.05     
Bergvin Annuson    Borgarnes   2001-04-06  40.31     
Arnar Arnarsson    Akureyri    2000-08-01  48.76     
Finngeir Gunnarss  Vík        2006-06-08  38.25     
Eva Arnarsdottir   Akureyri    2000-08-01  60.22     
Jana Gretudottir   Kópasker   2005-11-12  56.18     
Greta Finngeirsdo  Höfn       2005-01-18  55.81     
Geir Finngeirsson  Húsavík   2007-04-20  54.92     
Jan Karlsson       Húsavík   2007-08-26  32.64     
Eva Helgudottir    Reykjavík  2009-07-26  38.46     
Gunnar Bergvinsso  Vík        2007-11-10  46.16     
Gunnar Karlsson    Höfn       2005-01-18  57.91     
Louisa Janussdott  Kópasker   2002-10-24  31.4      
Hulda Helgudottir  Húsavík   2007-07-16  49.0      
Angela Finngeirsd  Akureyri    2009-11-09  60.45     
Angela Jansdottir  Selfoss     2004-06-25  51.8      
Karl Benediktsson  Selfoss     2009-02-18  58.78     
Sigurgeir Janusss  Akureyri    2009-01-11  42.05     
Gunnar Bergvinsso  Höfn       2004-09-06  35.82     
Bergvin Karlsson   Selfoss     2001-12-21  30.76     
Eva Janussdottir   Vík        2008-09-02  34.16     
Sunneva Geirsdott  Akureyri    2009-07-16  52.42     
Jana Janudottir    Selfoss     2000-11-02  36.93     
Benedikt Finngeir  Kópasker   2000-04-26  57.57     
Louisa Benediktsd  Reykjavík  2002-01-05  55.98     
Gunnar Geirsson    Húsavík   2002-09-15  49.62     
Helga Jansdottir   Höfn       2001-01-14  55.39     
Greta Jansdottir   Kópasker   2002-08-17  33.94     
Elva Benediktsdot  Selfoss     2004-03-22  42.71     
Angela Huldudotti  Kópasker   2000-04-26  41.05     
Sunneva Sigurgeir  Vík        2009-11-03  54.2      
Louisa Jansdottir  Reykjavík  2003-06-10  59.91     
Jana Janudottir    Akranes     2004-07-26  59.8      
Helga Sunnevudott  Vík        2004-04-10  36.82     
Helga Geirsdottir  Vík        2000-08-16  59.1      
Geir Finngeirsson  Borgarnes   2003-12-15  51.43     
Elva Arnarsdottir  Rif         2005-04-17  31.84     
Karl Geirsson      Vík        2007-05-01  52.04     
Eva Arnarsdottir   Vík        2004-04-10  52.89     
Bergvin Bergvinss  Kópasker   2000-04-26  47.58     
Janus Arnarsson    Reykjavík  2009-02-27  50.21     
Gunnar Bergvinsso  Borgarnes   2001-09-26  31.07     
Sunneva Sigurgeir  Kópasker   2000-04-26  38.53     
Karl Sigurgeirsso  Kópasker   2002-08-17  48.32     
Greta Geirsdottir  Vík        2001-09-26  35.33     
Hulda Annudottir   Húsavík   2004-05-25  54.79     
Helga Jansdottir   Akureyri    2001-03-16  41.63     
Jan Finngeirsson   Húsavík   2000-02-15  44.99     
Sunneva Benedikts  Húsavík   2007-04-20  50.19     
Jana Karlsdottir   Kópasker   2002-10-24  39.82     
Karl Geirsson      Borgarnes   2006-06-19  47.93     
Sunneva Geirsdott  Vík        2006-06-08  49.86     
Eva Sigurgeirsdot  Borgarnes   2002-11-11  57.09     
Louisa Huldudotti  Húsavík   2008-04-02  32.64     
Helga Sigurgeirsd  Kópasker   2000-04-26  54.59     
Benedikt Jansson   Rif         2005-04-17  36.74     
Karl Karlsson      Akranes     2003-10-14  32.38     
Bergvin Janussson  Kópasker   2007-01-24  35.74     
Gunnar Janussson   Selfoss     2008-01-09  47.73     
Karl Benediktsson  Rif         2008-11-23  45.31     
Helga Geirsdottir  Rif         2000-03-14  42.02     
Geir Sunnevuson    Kópasker   2004-05-10  52.03     
Eva Sunnevudottir  Rif         2004-08-14  49.93     
Sigurgeir Janusss  Rif         2008-11-23  46.51     
Greta Huldudottir  Akureyri    2009-11-09  56.42     
Karl Finngeirsson  Kópasker   2004-12-05  58.51     
Bergvin Evuson     Vík        2001-09-26  57.46     
Angela Jansdottir  Akranes     2007-03-12  36.57     
Anna Louisudottir  Kópasker   2007-01-24  31.32     
Jan Arnarsson      Reykjavík  2009-02-27  57.92     
Finngeir Janussso  Akranes     2009-04-06  39.63     
Hulda Arnarsdotti  Rif         2005-04-17  55.41     
Janus Gunnarsson   Rif         2000-03-14  33.34     
Gunnar Benediktss  Reykjavík  2009-07-26  39.24     
Louisa Jansdottir  Höfn       2005-01-18  42.88     
Eva Gunnarsdottir  Vík        2003-04-23  48.07     
Gunnar Geirsson    Borgarnes   2001-09-26  42.58     
Hulda Sigurgeirsd  Höfn       2004-09-06  47.59     
Louisa Sigurgeirs  Reykjavík  2006-06-10  42.11     
Geir Finngeirsson  Húsavík   2007-07-16  49.76     
Elva Janussdottir  Kópasker   2004-12-05  50.97     
Geir Finngeirsson  Akureyri    2009-07-16  42.63     
Sigurgeir Gunnars  Akureyri    2008-11-14  45.63     
Karl Finngeirsson  Kópasker   2000-04-26  43.99     
Elva Janussdottir  Borgarnes   2001-01-15  48.27     
Finngeir Evuson    Kópasker   2007-01-24  41.78     
Helga Sunnevudott  Vík        2004-04-10  48.56     
Gunnar Geirsson    Borgarnes   2006-06-19  44.94     
Finngeir Gunnarss  Húsavík   2004-05-25  32.02     
Helga Jansdottir   Vík        2007-05-01  38.28     
Janus Gunnarsson   Akureyri    2003-11-21  45.92     
Karl Finngeirsson  Húsavík   2007-08-26  39.2      
Louisa Finngeirsd  Selfoss     2006-07-20  59.75     
Elva Sigurgeirsdo  Vík        2008-09-02  44.01     
Elva Bergvinsdott  Akureyri    2001-04-18  53.62     
Louisa Finngeirsd  Höfn       2005-09-23  49.89     
Gunnar Sigurgeirs  Reykjavík  2003-06-10  31.43     
Finngeir Gunnarss  Reykjavík  2003-06-10  60.45     
Louisa Sigurgeirs  Húsavík   2007-08-26  33.89     
Hulda Sigurgeirsd  Vík        2003-04-23  49.16     
Arnar Karlsson     Akranes     2007-03-12  49.93     
Finngeir Geirsson  Akranes     2005-07-06  32.64     
Hulda Jansdottir   Kópasker   2006-06-11  34.05     
Louisa Elvudottir  Akranes     2005-12-22  33.41     
Anna Benediktsdot  Kópasker   2004-12-05  55.16     
Benedikt Finngeir  Selfoss     2000-11-02  55.63     
Helga Arnarsdotti  Kópasker   2001-02-20  54.43     
Gunnar Janussson   Vík        2006-06-08  44.4      
Sunneva Geirsdott  Höfn       2001-01-14  49.69     
Sigurgeir Angelus  Reykjavík  2008-08-09  46.93     
Geir Finngeirsson  Akureyri    2000-08-01  58.03     
Hulda Helgudottir  Vík        2006-06-08  32.92     
Gunnar Karlsson    Kópasker   2001-05-26  39.11     
Gunnar Janussson   Vík        2004-04-10  60.46     
